parcelid,neighborhood,latitude,longitude
13518133,N504,35.18347465,-80.70191786
20123440,U120,35.11272825,-80.98375386
20922312,U942,35.10795772,-80.84525669
20123378,U112,35.11215447,-80.98149513
21506410,V507,35.1061723,-80.70370812
00531401,A520,35.44644891,-80.85457255
00532194,A520,35.44989235,-80.85723661
13526222,N519,35.1675528,-80.68949104
22732157,W720,35.11196584,-80.74974547
22734234,W725,35.10806915,-80.73103419
22703255,W741,35.11563305,-80.74064127
05120338,F108,35.29628147,-80.69006702
17305540,R312,35.14398709,-80.87136066
05130239,F125,35.32746631,-80.70220593
04121166,E110,35.3002962,-80.84237025
04301122,E389,35.30598918,-80.80300535
05307540,F302,35.27623081,-80.97395275
22742209,W732,35.09177605,-80.74496971
22746138,W725,35.10931279,-80.73525275
04514253,E512,35.29674808,-80.80655233
10921119,K916,35.19845693,-80.7067098
00931401,A902,35.4243272,-80.87730053
10930159,K921,35.20974905,-80.69033944
11122419,L135,35.22577972,-80.63693909
05116360,F117,35.28849456,-80.71531981
05124415,F139,35.32183791,-80.70809712
22721526,W738,35.10721574,-80.7215111
22721528,W738,35.10681096,-80.72163878
03736189,D716,35.31354599,-80.87005533
17108302,R112,35.16865978,-80.85663828
07510573,H512,35.24856665,-80.8380709
17112146,R112,35.16405464,-80.85722856
17115101,R123,35.16066884,-80.86847428
17121108,R123,35.1499062,-80.86424131
00915614,A913,35.44008147,-80.89484433
00915772,A939,35.43923081,-80.89908219
01542178,B509,35.39671476,-80.91833327
01504136,B512,35.40453869,-80.90456094
00733322,A730,35.46018481,-80.80179495
00741229,A730,35.4665195,-80.78621356
13537212,N519,35.15817519,-80.67480787
05711323,F711,35.27990603,-80.90974647
01516166,B507,35.38690491,-80.91146028
13707145,N714,35.20070166,-80.66272236
05701317,F703,35.27555741,-80.90198429
05128260,F134,35.32588509,-80.6960638
05130230,F125,35.32901657,-80.70081814
04121310,E111,35.30315597,-80.84170885
05125245,F136,35.32171876,-80.69797576
05129205,F111,35.29121683,-80.7203864
05132121,F111,35.29355704,-80.71602817
04508108,E505,35.28388107,-80.794633
23112710,X125,35.05701011,-80.75368536
